Sep 04 17:54:32.072 INFO ATARI_JAGUAR_CD: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [BIN] (TOSEC-v2012-07-22_CM).dat, path: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [BIN] (TOSEC-v2012-07-22_CM).dat, platform_id: ATARI_JAGUAR_CD
Sep 04 17:54:32.073 INFO ATARI_JAGUAR_CD: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [CDI] (TOSEC-v2024-01-15_CM).dat, path: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [CDI] (TOSEC-v2024-01-15_CM).dat, platform_id: ATARI_JAGUAR_CD
Sep 04 17:54:32.075 INFO ATARI_JAGUAR_CD: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [NRG] (TOSEC-v2024-01-15_CM).dat, path: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [NRG] (TOSEC-v2024-01-15_CM).dat, platform_id: ATARI_JAGUAR_CD
Sep 04 17:54:32.076 INFO ATARI_LYNX: dats\ATARI_LYNX\Atari Lynx - Applications (TOSEC-v2013-12-13_CM).dat, path: dats\ATARI_LYNX\Atari Lynx - Applications (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Sep 04 17:54:32.077 INFO ATARI_LYNX: dats\ATARI_LYNX\Atari Lynx - Firmware (TOSEC-v2013-12-13_CM).dat, path: dats\ATARI_LYNX\Atari Lynx - Firmware (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Sep 04 17:54:32.110 INFO ATARI_LYNX: dats\ATARI_LYNX\OpenLynx.dat, path: dats\ATARI_LYNX\OpenLynx.dat, platform_id: ATARI_LYNX
Sep 04 17:54:32.132 INFO BANDAI_WS: dats\BANDAI_WS\Bandai - WonderSwan (20260525-011654).dat, path: dats\BANDAI_WS\Bandai - WonderSwan (20260525-011654).dat, platform_id: BANDAI_WS
Sep 04 17:54:32.143 INFO BANDAI_WS: dats\BANDAI_WS\Bandai WonderSwan - Demos (TOSEC-v2023-10-03_CM).dat, path: dats\BANDAI_WS\Bandai WonderSwan - Demos (TOSEC-v2023-10-03_CM).dat, platform_id: BANDAI_WS
Sep 04 17:54:32.158 INFO BANDAI_WS: dats\BANDAI_WS\Bandai WonderSwan - Games (TOSEC-v2023-11-07_CM).dat, path: dats\BANDAI_WS\Bandai WonderSwan - Games (TOSEC-v2023-11-07_CM).dat, platform_id: BANDAI_WS
Sep 04 17:54:32.194 INFO BANDAI_WS: dats\BANDAI_WS\OpenWSx.WS.dat, path: dats\BANDAI_WS\OpenWSx.WS.dat, platform_id: BANDAI_WS
Sep 04 17:54:32.211 INFO BANDAI_WSC: dats\BANDAI_WSC\Bandai - WonderSwan Color (20260525-011610).dat, path: dats\BANDAI_WSC\Bandai - WonderSwan Color (20260525-011610).dat, platform_id: BANDAI_WSC
Sep 04 17:54:32.224 INFO BANDAI_WSC: dats\BANDAI_WSC\Bandai WonderSwan Color - Demos (TOSEC-v2024-07-03_CM).dat, path: dats\BANDAI_WSC\Bandai WonderSwan Color - Demos (TOSEC-v2024-07-03_CM).dat, platform_id: BANDAI_WSC
Sep 04 17:54:32.240 INFO BANDAI_WSC: dats\BANDAI_WSC\Bandai WonderSwan Color - Games (TOSEC-v2024-07-03_CM).dat, path: dats\BANDAI_WSC\Bandai WonderSwan Color - Games (TOSEC-v2024-07-03_CM).dat, platform_id: BANDAI_WSC
Sep 04 17:54:32.274 INFO BANDAI_WSC: dats\BANDAI_WSC\OpenWSx.WSC.dat, path: dats\BANDAI_WSC\OpenWSx.WSC.dat, platform_id: BANDAI_WSC
Sep 04 17:54:32.290 INFO COLECO_CV: dats\COLECO_CV\Coleco - ColecoVision (20260710-180934).dat, path: dats\COLECO_CV\Coleco - ColecoVision (20260710-180934).dat, platform_id: COLECO_CV
Sep 04 17:54:32.299 INFO COLECO_CV: dats\COLECO_CV\Coleco - ColecoVision (Private) (20260710-180934).dat, path: dats\COLECO_CV\Coleco - ColecoVision (Private) (20260710-180934).dat, platform_id: COLECO_CV
Sep 04 17:54:32.300 INFO COLECO_CV: dats\COLECO_CV\Coleco ColecoVision - Applications (TOSEC-v2021-07-25_CM).dat, path: dats\COLECO_CV\Coleco ColecoVision - Applications (TOSEC-v2021-07-25_CM).dat, platform_id: COLECO_CV
