Apr 04 00:25:35.697 INFO SNK_NGCD: dats/SNK_NGCD/SNK Neo-Geo CD - Samplers - [IMG] (TOSEC-v2012-09-08_CM).dat, path: dats/SNK_NGCD/SNK Neo-Geo CD - Samplers - [IMG] (TOSEC-v2012-09-08_CM).dat, platform_id: SNK_NGCD
Apr 04 00:25:35.697 INFO SNK_NGCD: dats/SNK_NGCD/SNK Neo-Geo CD - Demos (TOSEC-v2012-09-08_CM).dat, path: dats/SNK_NGCD/SNK Neo-Geo CD - Demos (TOSEC-v2012-09-08_CM).dat, platform_id: SNK_NGCD
Apr 04 00:25:35.698 INFO SNK_NGCD: dats/SNK_NGCD/SNK Neo-Geo CD - Samplers - [Multipart] (TOSEC-v2012-09-08_CM).dat, path: dats/SNK_NGCD/SNK Neo-Geo CD - Samplers - [Multipart] (TOSEC-v2012-09-08_CM).dat, platform_id: SNK_NGCD
Apr 04 00:25:35.698 INFO SNK_NGCD: dats/SNK_NGCD/SNK Neo-Geo CD - Firmware (TOSEC-v2012-09-08_CM).dat, path: dats/SNK_NGCD/SNK Neo-Geo CD - Firmware (TOSEC-v2012-09-08_CM).dat, platform_id: SNK_NGCD
Apr 04 00:25:35.703 INFO SNK_NGCD: dats/SNK_NGCD/SNK Neo-Geo CD - Games - [IMG] (TOSEC-v2014-06-12_CM).dat, path: dats/SNK_NGCD/SNK Neo-Geo CD - Games - [IMG] (TOSEC-v2014-06-12_CM).dat, platform_id: SNK_NGCD
Apr 04 00:25:35.736 INFO SNK_NGCD: dats/SNK_NGCD/SNK Neo-Geo CD - Games - [ISO] (TOSEC-v2014-06-12_CM).dat, path: dats/SNK_NGCD/SNK Neo-Geo CD - Games - [ISO] (TOSEC-v2014-06-12_CM).dat, platform_id: SNK_NGCD
Apr 04 00:25:35.778 INFO NINTENDO_GB: dats/NINTENDO_GB/Nintendo - Game Boy (20210402-115051).dat, path: dats/NINTENDO_GB/Nintendo - Game Boy (20210402-115051).dat, platform_id: NINTENDO_GB
Apr 04 00:25:35.836 INFO NINTENDO_GB: dats/NINTENDO_GB/Nintendo Game Boy - Demos (TOSEC-v2011-08-13_CM).dat, path: dats/NINTENDO_GB/Nintendo Game Boy - Demos (TOSEC-v2011-08-13_CM).dat, platform_id: NINTENDO_GB
Apr 04 00:25:35.918 INFO NINTENDO_GB: dats/NINTENDO_GB/Nintendo Game Boy - Games (TOSEC-v2020-10-26_CM).dat, path: dats/NINTENDO_GB/Nintendo Game Boy - Games (TOSEC-v2020-10-26_CM).dat, platform_id: NINTENDO_GB
Apr 04 00:25:36.049 INFO NINTENDO_GB: dats/NINTENDO_GB/Nintendo Game Boy - Firmware (TOSEC-v2011-09-27_CM).dat, path: dats/NINTENDO_GB/Nintendo Game Boy - Firmware (TOSEC-v2011-09-27_CM).dat, platform_id: NINTENDO_GB
