Aug 16 23:59:12.765 INFO ATARI_2600: dats/ATARI_2600/Atari 2600 & VCS - Games (TOSEC-v2020-07-16_CM).dat, path: dats/ATARI_2600/Atari 2600 & VCS - Games (TOSEC-v2020-07-16_CM).dat, platform_id: ATARI_2600
Aug 16 23:59:12.823 INFO ATARI_2600: dats/ATARI_2600/Atari 2600 & VCS - Applications (TOSEC-v2020-07-03_CM).dat, path: dats/ATARI_2600/Atari 2600 & VCS - Applications (TOSEC-v2020-07-03_CM).dat, platform_id: ATARI_2600
Aug 16 23:59:12.827 INFO MATTEL_INT: dats/MATTEL_INT/Mattel - Intellivision (20190315-210619).dat, path: dats/MATTEL_INT/Mattel - Intellivision (20190315-210619).dat, platform_id: MATTEL_INT
Aug 16 23:59:12.836 INFO NINTENDO_BS: dats/NINTENDO_BS/Nintendo - Satellaview (20200424-131853).dat, path: dats/NINTENDO_BS/Nintendo - Satellaview (20200424-131853).dat, platform_id: NINTENDO_BS
Aug 16 23:59:12.845 INFO SEGA_32X: dats/SEGA_32X/Sega - 32X (20191204-183941).dat, path: dats/SEGA_32X/Sega - 32X (20191204-183941).dat, platform_id: SEGA_32X
Aug 16 23:59:12.853 INFO SEGA_32X: dats/SEGA_32X/Sega 32X - Firmware (TOSEC-v2012-09-08_CM).dat, path: dats/SEGA_32X/Sega 32X - Firmware (TOSEC-v2012-09-08_CM).dat, platform_id: SEGA_32X
Aug 16 23:59:12.861 INFO SEGA_32X: dats/SEGA_32X/Sega 32X - Games (TOSEC-v2020-07-12_CM).dat, path: dats/SEGA_32X/Sega 32X - Games (TOSEC-v2020-07-12_CM).dat, platform_id: SEGA_32X
Aug 16 23:59:12.868 INFO SEGA_32X: dats/SEGA_32X/Sega 32X - Applications (TOSEC-v2017-07-26_CM).dat, path: dats/SEGA_32X/Sega 32X - Applications (TOSEC-v2017-07-26_CM).dat, platform_id: SEGA_32X
Aug 16 23:59:12.870 INFO SEGA_32X: dats/SEGA_32X/Sega 32X - Demos (TOSEC-v2019-09-01_CM).dat, path: dats/SEGA_32X/Sega 32X - Demos (TOSEC-v2019-09-01_CM).dat, platform_id: SEGA_32X
Aug 16 23:59:12.878 INFO NINTENDO_WIIU: dats/NINTENDO_WIIU/Nintendo - Wii U - Datfile (493) (2020-08-01 18-57-26).dat, path: dats/NINTENDO_WIIU/Nintendo - Wii U - Datfile (493) (2020-08-01 18-57-26).dat, platform_id: NINTENDO_WIIU
Aug 16 23:59:12.947 INFO NINTENDO_WIIU: dats/NINTENDO_WIIU/Nintendo - Wii U (Digital) (20191222-002825).dat, path: dats/NINTENDO_WIIU/Nintendo - Wii U (Digital) (20191222-002825).dat, platform_id: NINTENDO_WIIU
Aug 16 23:59:13.103 INFO SNK_NGP: dats/SNK_NGP/SNK Neo-Geo Pocket - Games (TOSEC-v2014-07-01_CM).dat, path: dats/SNK_NGP/SNK Neo-Geo Pocket - Games (TOSEC-v2014-07-01_CM).dat, platform_id: SNK_NGP
Aug 16 23:59:13.103 INFO SNK_NGP: dats/SNK_NGP/SNK Neo-Geo Pocket - Firmware (TOSEC-v2011-08-13_CM).dat, path: dats/SNK_NGP/SNK Neo-Geo Pocket - Firmware (TOSEC-v2011-08-13_CM).dat, platform_id: SNK_NGP
Aug 16 23:59:13.104 INFO SNK_NGP: dats/SNK_NGP/SNK - Neo Geo Pocket (20190930-190238).dat, path: dats/SNK_NGP/SNK - Neo Geo Pocket (20190930-190238).dat, platform_id: SNK_NGP
Aug 16 23:59:13.137 INFO MICROSOFT_XBOX: dats/MICROSOFT_XBOX/Microsoft - Xbox - Datfile (2447) (2020-08-11 15-22-22).dat, path: dats/MICROSOFT_XBOX/Microsoft - Xbox - Datfile (2447) (2020-08-11 15-22-22).dat, platform_id: MICROSOFT_XBOX
Aug 16 23:59:13.224 INFO MICROSOFT_XBOX: dats/MICROSOFT_XBOX/Microsoft - Xbox - BIOS Datfile (7) (2010-09-13).dat, path: dats/MICROSOFT_XBOX/Microsoft - Xbox - BIOS Datfile (7) (2010-09-13).dat, platform_id: MICROSOFT_XBOX
Aug 16 23:59:13.250 INFO SONY_PSP: dats/SONY_PSP/Sony - PlayStation Portable (20200630-070751).dat, path: dats/SONY_PSP/Sony - PlayStation Portable (20200630-070751).dat, platform_id: SONY_PSP
Aug 16 23:59:13.454 INFO SONY_PSP: dats/SONY_PSP/Sony - PlayStation Portable (PSN) (Decrypted) (20200520-083536).dat, path: dats/SONY_PSP/Sony - PlayStation Portable (PSN) (Decrypted) (20200520-083536).dat, platform_id: SONY_PSP
Aug 16 23:59:13.722 INFO SONY_PSP: dats/SONY_PSP/Sony - PlayStation Portable (PSN) (Encrypted) (20200706-035743).dat, path: dats/SONY_PSP/Sony - PlayStation Portable (PSN) (Encrypted) (20200706-035743).dat, platform_id: SONY_PSP
Aug 16 23:59:13.863 INFO SONY_PSP: dats/SONY_PSP/Sony - PlayStation Portable - Datfile (2142) (2020-08-14 21-06-51).dat, path: dats/SONY_PSP/Sony - PlayStation Portable - Datfile (2142) (2020-08-14 21-06-51).dat, platform_id: SONY_PSP
Aug 16 23:59:13.959 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - Games - [BIN] (TOSEC-v2020-07-12_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - Games - [BIN] (TOSEC-v2020-07-12_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.963 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - CD - Games (TOSEC-v2012-07-13_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - CD - Games (TOSEC-v2012-07-13_CM).dat, platform_id: FUJITSU_FMT
Aug 16 23:59:13.963 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu FM Towns - CD - Homebrew - Demos (TOSEC-v2012-07-22_CM).dat, path: dats/FUJITSU_FMT/Fujitsu FM Towns - CD - Homebrew - Demos (TOSEC-v2012-07-22_CM).dat, platform_id: FUJITSU_FMT
